page_meta,0,zacharysmith.us@gmail.com,
page_meta,1,https://python.bronzehorse.space,https://python.bronzehorse.space
snake,0,./python_libs_cheat_sheet/img/snake.png,https://python.org
logo,0,./python_libs_cheat_sheet/img/logo.png,https://docs.python.org/3/
third_party,0,Requests,http://www.python-requests.org
third_party,1,HTTP wrapper.,http://www.python-requests.org
third_party,2,Scrapy,http://www.scrapy.org/
third_party,3,Web scraper.,http://www.scrapy.org/
third_party,4,wxPython,http://wxpython.org/
third_party,5,GUI Toolkit.,http://wxpython.org/
third_party,6,Pillow,https://github.com/python-imaging/Pillow
third_party,7,Python 3x Imaging Lib.,https://github.com/python-imaging/Pillow
third_party,8,SQLAlchemy,http://www.sqlalchemy.org/
third_party,9,SQL DB wrapper.,http://www.sqlalchemy.org/
third_party,10,BeautifulSoup,http://www.crummy.com/software/BeautifulSoup/
third_party,11,XML/HTML wrapper.,http://www.crummy.com/software/BeautifulSoup/
third_party,12,Twisted,http://twistedmatrix.com/
third_party,13,Network API,http://twistedmatrix.com/
third_party,14,Numpy,http://numpy.scipy.org//
third_party,15,Advanced maths.,http://numpy.scipy.org//
third_party,16,SciPy,http://www.scipy.org/
third_party,17,Science/Math tools,http://www.scipy.org/
third_party,18,MatPlotLib,http://matplotlib.sourceforge.net/
third_party,19,Plotting/Datavisualization.,http://matplotlib.sourceforge.net/
third_party,20,PyGame,http://www.pygame.org/news.html
third_party,21,2d Game API.,http://www.pygame.org/news.html
third_party,22,PyGlet,http://www.pyglet.org/
third_party,23,3d animation & game API.,http://www.pyglet.org/
third_party,24,PyQT,http://www.riverbankcomputing.co.uk/pyqt/
third_party,25,QT API wrapper.,http://www.riverbankcomputing.co.uk/pyqt/
third_party,26,PyGTK,http://www.pygtk.org/
third_party,27,GTK API wrapper.,http://www.pygtk.org/
third_party,28,Scapy,http://www.secdev.org/projects/scapy/
third_party,29,Network sniifer toolkit.,http://www.secdev.org/projects/scapy/
third_party,30,PyWin32,http://sourceforge.net/projects/pywin32/
third_party,31,Win32 API wrapper.,http://sourceforge.net/projects/pywin32/
third_party,32,NLTK,http://www.nltk.org/
third_party,33,Natural Language Toolkit.,http://www.nltk.org/
third_party,34,Nose,http://code.google.com/p/python-nose/
third_party,35,TDD toolkit.,http://code.google.com/p/python-nose/
third_party,36,SymPy,http://code.google.com/p/sympy/
third_party,37,Basic maths toolkit (calculus).,http://code.google.com/p/sympy/
